country,state name,market name,cm_name,mp_month,mp_year,mp_price
Afghanistan,Badakhshan,Fayzabad,Bread,1,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,2,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,3,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,4,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,5,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,6,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,7,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,8,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,9,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,10,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,11,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,12,2014,50
Afghanistan,Badakhshan,Fayzabad,Bread,1,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,2,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,3,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,6,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,7,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,8,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,9,2015,50
Afghanistan,Badakhshan,Fayzabad,Bread,10,2015,56.25
Afghanistan,Badakhshan,Fayzabad,Bread,11,2015,65.25
Afghanistan,Badakhshan,Fayzabad,Bread,12,2015,55.5
Afghanistan,Badakhshan,Fayzabad,Bread,1,2016,55.5
Afghanistan,Badakhshan,Fayzabad,Bread,2,2016,55.5
Afghanistan,Badakhshan,Fayzabad,Bread,3,2016,55.5
Afghanistan,Badakhshan,Fayzabad,Bread,4,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,5,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,6,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,7,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,8,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,9,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,10,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,11,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,12,2016,50
Afghanistan,Badakhshan,Fayzabad,Bread,1,2017,50
Afghanistan,Badakhshan,Fayzabad,Bread,2,2017,50
Afghanistan,Badakhshan,Fayzabad,Bread,3,2017,50
Afghanistan,Badakhshan,Fayzabad,Bread,4,2017,50
Afghanistan,Badakhshan,Fayzabad,Bread,5,2017,50
Afghanistan,Badakhshan,Fayzabad,Bread,6,2017,50
Afghanistan,Badakhshan,Fayzabad,Wheat,1,2003,7
Afghanistan,Badakhshan,Fayzabad,Wheat,2,2003,6
Afghanistan,Badakhshan,Fayzabad,Wheat,3,2003,7
Afghanistan,Badakhshan,Fayzabad,Wheat,4,2003,6
Afghanistan,Badakhshan,Fayzabad,Wheat,5,2003,6
Afghanistan,Badakhshan,Fayzabad,Wheat,6,2003,7
Afghanistan,Badakhshan,Fayzabad,Wheat,7,2003,7
Afghanistan,Badakhshan,Fayzabad,Wheat,8,2003,7.275
Afghanistan,Badakhshan,Fayzabad,Wheat,9,2003,6.775
Afghanistan,Badakhshan,Fayzabad,Wheat,10,2003,7.175
Afghanistan,Badakhshan,Fayzabad,Wheat,11,2003,6.975
Afghanistan,Badakhshan,Fayzabad,Wheat,12,2003,6.225
Afghanistan,Badakhshan,Fayzabad,Wheat,1,2004,6.05
Afghanistan,Badakhshan,Fayzabad,Wheat,2,2004,6.8375
Afghanistan,Badakhshan,Fayzabad,Wheat,3,2004,8.625
Afghanistan,Badakhshan,Fayzabad,Wheat,4,2004,8.985
Afghanistan,Badakhshan,Fayzabad,Wheat,5,2004,7.6244
Afghanistan,Badakhshan,Fayzabad,Wheat,6,2004,9.4
Afghanistan,Badakhshan,Fayzabad,Wheat,7,2004,10.25
Afghanistan,Badakhshan,Fayzabad,Wheat,8,2004,11.75
Afghanistan,Badakhshan,Fayzabad,Wheat,9,2004,9.7561
Afghanistan,Badakhshan,Fayzabad,Wheat,10,2004,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,11,2004,11.1275
Afghanistan,Badakhshan,Fayzabad,Wheat,12,2004,11.2
Afghanistan,Badakhshan,Fayzabad,Wheat,1,2005,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,2,2005,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,3,2005,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,4,2005,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,5,2005,11.4
Afghanistan,Badakhshan,Fayzabad,Wheat,6,2005,11.435
Afghanistan,Badakhshan,Fayzabad,Wheat,7,2005,11.4225
Afghanistan,Badakhshan,Fayzabad,Wheat,8,2005,11.24
Afghanistan,Badakhshan,Fayzabad,Wheat,9,2005,11.55
Afghanistan,Badakhshan,Fayzabad,Wheat,10,2005,11.995
Afghanistan,Badakhshan,Fayzabad,Wheat,11,2005,12.175
Afghanistan,Badakhshan,Fayzabad,Wheat,12,2005,12.73
Afghanistan,Badakhshan,Fayzabad,Wheat,1,2006,13.625
Afghanistan,Badakhshan,Fayzabad,Wheat,2,2006,12.75
Afghanistan,Badakhshan,Fayzabad,Wheat,3,2006,14.125
Afghanistan,Badakhshan,Fayzabad,Wheat,4,2006,13.25
Afghanistan,Badakhshan,Fayzabad,Wheat,5,2006,13.625
Afghanistan,Badakhshan,Fayzabad,Wheat,6,2006,13.375
Afghanistan,Badakhshan,Fayzabad,Wheat,7,2006,12.95
Afghanistan,Badakhshan,Fayzabad,Wheat,8,2006,13
Afghanistan,Badakhshan,Fayzabad,Wheat,9,2006,13.75
Afghanistan,Badakhshan,Fayzabad,Wheat,10,2006,14
Afghanistan,Badakhshan,Fayzabad,Wheat,11,2006,14.3333
Afghanistan,Badakhshan,Fayzabad,Wheat,12,2006,15
Afghanistan,Badakhshan,Fayzabad,Wheat,1,2007,15
Afghanistan,Badakhshan,Fayzabad,Wheat,2,2007,15.25
Afghanistan,Badakhshan,Fayzabad,Wheat,3,2007,16
